Omsk Омск
Bikin Бикин
Chegdomyn Чегдомын
Okhotsk Охотск
Troitskoe Троицкое
Ayan Аян
Elban Elban
Khurba Хурба
Kirin Кирин
Desnitsa Десница
Severyanin Северянин
Lodeyno Lodeyno
Forpost Форпост
Chernushka Чернушка
Aleksandrovsk Александровск
Chistyy Чистый
Ramenskoye Раменское
Sumskoy Сумской
Zmeinka Змеинка
Babich Бабич
Rybin Рыбин
Kuzmin Кузьмин
Konovalova Коновалова
Cherus Черус
Klinskiy Клинский
Sopot Сопот
Kraski Краски
Korotkov Коротков
Elektrostal Электросталь
Gora Гора
Yupiter Юпитер
Krasnoturinsk Краснотурьинск
Talitsa Талица
Moron Дебил
Revda Ревда
Lomonosova Ломоносова
"Chernaya Rechka" "Черная Речка"
Suzdalskaya Суздальская
Polevaya Полевая
"Krasnaya Gorka" "Красная Горка"
Krasnogvardeyskiy Красногвардейский
Krasnoznamensk Краснознаменск
Kolchugino Кольчугино
Blagoveshenskiy Благовещенский
Okean Океан
Tretiy Третий
Peredelkino Переделкино
Stan Стэн
Tolstoy Толстой
Elektrozavodskoy Elektrozavodskoy
Rostokino Ростокино
Anokhina Анохина
Bogdanovich Богданович
Vitebskaya Витебская
Moshkovo Мошково
Maslyanino Маслянино
Cherepanovo Черепаново
Suzun Сузун
Buturlinovskiy Бутурлиновский
Borisovo Борисово
Chayka Чайка
Zyuzino Зюзино
Perovo Перово
Ataki Атаки
Zheleznodorozhny Железнодорожный
Alanga Аланга
Klyazma Клязьма
Mostovaya Мостовая
Skachkov Скачкова
Kryukovo Крюково
Preobrazhenskoe Преображенское
Bibirevo Бибирево
Akhtubinsk Ахтубинск
Aktay Актай
Trifonova Трифонова
Lianozovo Лианозово
Satka Сатка
Abaza Абаза
Nota Нота
Komissarov Комиссарова
Petushkova Петушкова
Matushkino Матушкино
Mitino Митино
Asha Аша
Laki Лаки
Shoina Shoina
Dmitrovskiy Дмитровский
Pozhara Пожара
Narin Нарин
Spasskaya Спасская
Chernova Чернова
Borisova Борисова
Kosa Коса
Lebedeva Лебедева
Yaroslavskiy Ярославский
Krylov Крылов
Kotlovka Котловка
Novoye Новое
Vernyy Верный
Nevskiy Невский
Elektrozavod Электрозавод
Irkutskiy Иркутский
Soldatskaya Солдатская
Alexandrovsk Александровск
Neftegorsk Нефтегорск
Gusev Гусев
Nizhniy Нижний
Ust-Katav Усть-Катаве
Bogoslovskiy Богословский
"Severnaya Zvezda" "Северная Звезда"
Blagovest Благовест
Bogoyavlenskiy Богоявленский
Strogino Строгино
Solidarnost Солидарность
Timashevsk Тимашевск
Soni Сони
Sivak Сивак
Kashino Кашино
Georgiy Георгий
Brandenburg Бранденбург
Krupa Крупа
Maslovo Маслово
De-Kastri Де-Кастри
Vatutinki Ватутинки
Suzdal Суздаль
Suvorovskaya Суворовская
Sudakova Судакова
Voykovskiy Войковский
Tapilin Tapilin
Nemchinovka Немчиновка
Keramik Керамик
Novinka Новинка
Filin Филин
Tair Таир
Kozlovskiy Козловский
Rubtsovo Рубцово
Berezka Березка
Tolmacheva Толмачева
Minaev Минаев
Volokolamskiy Волоколамский
Aziatskaya Азиатская
Novocherkasskiy Новочеркасский
Kommunisticheskiy Коммунистический
Ozon Озон
Laykovo Laykovo
Fabrichnaya Фабричная
Zorkiy Зоркий
Zheleznodorozhnyy Железнодорожный
Zemlya Земля
Lipatov Липатов
Belogore Белогорье
Trio Трио
Koltso Кольцо
Dubrovka Дубровка
Odin Один
Znamya Знамя
Volzhsk Волжск
Mikoyan Микоян
Ryaz Ряз
Niemi Ниеми
Safronov Сафронов
Sokolov Соколов
Dedenevo Деденево
Zorin Зорин
Mineralnye Минеральные
Besedy Беседы
Dushin Душин
Tuba Туй
Babkin Бабкин
Sotnikova Сотникова
Kotov Котов
Frolov Фролова
Andronov Андронов
Shishkov Шишков
Inder Индер
Nagornay Nagornay
Zhizn Жизнь
Gruzdeva Груздева
Opten Оптен
Maydan Майдан
Likhaya Лихая
Kizlyar Кизляр
Zubovskiy Зубовский
Naro-Fominsk Наро-Фоминск
Akulovo Акулово
Yartsevskaya Ярцевская
Yuzhnyy Южный
Zaytseva Зайцева
Staropetrovskiy Staropetrovskiy
Narodnyy Народный
Sadovo Садово
Polyany Поляны
Sortavala Сортавала
Putilkovo Путилково
Prechistenskaya Пречистенская
Ivankovskoye Иваньковского
Lubyanskiy Лубянский
Petrovskiy Петровский
Kotelnich Котельнич
Luza Луза
Slobodskoy Слободской
Omutninsk Омутнинск
Yaransk Яранск
Korsak Корсак
Voznesenskiy Вознесенский
Teply Теплый
Barda Барда
Kizel Кизел
Gornozavodsk Горнозаводск
Kungur Кунгур
Chusovoy Чусовой
Nytva Нытва
Kueda Куеда
Voch Воч
Luna Луна
Krylova Крылова
Kovaleva Ковалева
Viga Вига
Marka Марка
Mayaki Маяки
Neman Неман
Nolinsk Нолинск
Kirs Кирс
Sovetsk Советск
Urzhum Уржум
Murashi Мураши
Malmyzh Малмыж
Solyanka Солянка
Pervomayskiy Первомайский
Kirpichnaya Кирпичная
Prioskolye Приосколье
Bauer Бауэр
Mariupol Мариуполь
Ogorodnyy Огородный
Novopeschanaya Новопесчаная
Borki Борки
Levin Левин
Maksima Максима
Semeynyy Семейный
Ogni Огни
Rekord Рекорд
Vtoroy Второй
Privolzhskiy Приволжский
Valentina Валентина
Veseloe Веселое
Krasnov Краснов
Vladimirov Владимирова
Tsentralnaya Центральная
Oktyabrski Октябрьском
Pleskovo Плесково
Vodoley Водолей
Lugovoy Луговой
Chkalovskiy Чкаловский
Komsomolskiy Комсомольский
Konus Конус
Inso Инсо
Aton Атон
Vvedenskaya Введенская
Mais Маис
Merkuriy Меркурий
Kalinka Калинка
Lechebnyy Лечебный
Igmas Игмас
Petrodvorets Петродворец
Popovka Поповка
Bryanskaya Брянская
Inskaya Инская
Poluyanova Полуяновой
Solnechnogorskiy Солнечногорский
Rosta Роста
Dukat Дукат
Podol Подол
Pishchekombinat Пищекомбинат
Tayga Тайга
Yakusheva Якушева
Kolchug Кольчуг
Borodino Бородино
Dvoynoy Двойной
Triumf Триумф
Lomakina Ломакина
Vishnyaki Вишняки
Taiga Тайга
Sevastopol Севастополь
Sudakovo Судаково
Sorokino Сорокино
Turtas Туртас
Orichi Оричи
Zuevka Зуевка
Bardina Бардина
Prudy Пруды
Borisovskiy Борисовский
Stark Старк
Krasnoarmeysk Красноармейск
Dezhneva Дежнева
Chupa Чупа
Fedorenko Федоренко
Veshki Вешки
Talovaya Таловая
Karetnyy Каретный
Batov Батова
Saraktash Саракташ
Borzya Борзя
Fakel Факел
Shturm Штурм
Prudi Пруди
Dubki Дубки
Shasta Шаста
Sharypovo Шарыпово
Roshcha Роща
Shukhova Шухова
Milyutinskiy Милютинский
Karaganda Караганда
Dorozhnaya Дорожная
Lyubertsy Люберцы
Vnukovskiy Внуковский
Kravtsov Кравцов
Bogorodskiy Богородский
Leskova Лескова
Buturlinovka Бутурлиновка
Kamennoy Каменной
Rokotova Рокотова
Panino Панино
Opochno Opochno
Baykova Байкова
Mikhaylovskiy Михайловский
Marat Марат
Alga Алга
Potapovskiy Потаповский
Samarskiy Самарский
Lespromkhoz Леспромхоз
Promyshlennyy Промышленный
Mini Мини
Kalitva Калитва
Orlovka Орловка
Salsk Сальск
Armyanskiy Армянский
Timiryazevskiy Тимирязевский
Yantarnyy Янтарный
Korovino Коровино
Zimin Зимин
Larevo Ларево
Sverdlovskiy Свердловский
Ogonek Огонек
Peschanaya Песчаная
Olhovatka Ольховатка
Kapustin Капустин
Osenniy Осенний
Morozova Морозова
Fomin Фомин
Pyshminskaya Пышминская
Elektrogorsk Электрогорск
Krymskaya Крымская
Zubkov Зубков
Iran Иран
Respublika Республика
Azovskaya Азовская
Pskovskaya Псковская
Ivancha Иванча
Kondratenko Кондратенко
Sorokin Сорокин
Tarasov Тарасова
Ryabov Рябов
Suvorov Суворов
Chernyshova Чернышова
Sofiya София
Ratnaya Ратная
Trofimov Трофимов
Sretenskaya Сретенская
Kargin Каргин
Grishin Гришин
Gavrilin Гаврилин
Plotnikov Плотникова
Selyatino Селятино
Kostyukovskiy Костюковский
Teterinskiy Teterinskiy
Krasina Красина
Suchkov Сучков
Fridman Фридман
Voronezhskaya Воронежская
Nikulinskaya Никулинская
Maksimova Максимова
Kargina Каргина
Chernoistochinsk Черноисточинск
Kubinka Кубинка
Tazovskiy Тазовский
Solnechnyy Солнечный
Nikitina Никитиной
Irtyshskiy Иртышский
Savin Савин
Muratov Муратов
Boyarskiy Боярский
Posol Посол
Severobaykalsk Северобайкальск
Irkutskaya Иркутская
Polyana Поляна
Lukoyanov Лукоянов
Mana Мана
Klimova Климова
Osipov Осипов
Ogarkov Огарков
Kaluzhskiy Калужский
Aleksandrov Александров
Nizhneangarsk Нижнеангарск
Lyubov Любовь
Novinki Новинки
Burakova Буракова
Balashova Балашова
Petrova Петрова
Tolmachev Толмачев
Potapov Потапов
Fedotova Федотова
Anadyrskiy Анадырский
Sidorova Сидорова
Ovchinnikovskiy Овчинниковский
Sultanov Султанова
Titov Титов
Belikov Беликов
Uday Удай
Cherkasskiy Черкасский
Snezhnaya Снежная
Venera Венера
Safonov Сафонов
Sokolova Соколова
Sychev Сычев
Parshina Паршина
Yuliya Юлия
Orlova Орлова
Ushakova Ушакова
Bogdan Богдан
Mustafa Мустафа
Kruglova Круглова
Poperechnyy Поперечный
Golenkov Голенков
Storona Сторона
Savina Савина
Davydkin Давыдкин
Dzhizi Dzhizi
Krivko Кривко
Danila Данила
Lomakin Ломакин
Rostovskiy Ростовский
Krasnogorskiy Красногорский
"Pavlovskiy Posad" "Павловский Посад"
Turist Турист
Lukin Лукин
Fokin Фокин
Razumovskiy Разумовский
Zhako Жако
Koryakin Корякин
Doma Дома
Kolodeznyy Колодезный
Ushakov Ушаков
Rudnev Руднев
Sibirskiy Сибирский
Kova Кова
Semenova Семенова
Shestakov Шестаков
Voznesenskaya Вознесенская
Novopetrovskaya Новопетровская
Ostrovskiy Островский
Izmaylov Измайлов
Polyakova Полякова
Permskaya Пермская
Smagina Смагина
Konovalov Коновалов
Leonova Леонова
Smykov Смыков
Almas Алмас
Shestakova Шестакова
Mironov Миронов
Gera Гера
Kurnosov Курносов
Simonov Симонова
Sosenskiy Сосенский
Denisova Денисова
Aptekarskiy Аптекарский
Ordzhonikidze Орджоникидзе
Morozov Морозов
Kolosov Колосов
Kirsanova Кирсанова
Berezhnoy Бережной
Grekov Грекова
Zabelin Забелин
Nazarova Назаровой
"Malaya Lubyanka" "Малая Лубянка"
Osipova Осипова
Sobol Соболь
Moroz Мороз
Pereyaslavskaya Переяславская
Alifanov Алифанов
Mitinskaya Митинская
Chik Чик
Grazhdanskaya Гражданская
Krasnoyarskaya Красноярская
Riga Рига
Kokoshkino Кокошкино
Cherkizovo Черкизово
Stupinskiy Ступинский
Ruza Руза
Davydkovo Давыдково
Chay Чай
"Staraya Kupavna" "Старая Купавна"
Vesely Веселый
Rudak Рудак
Imeni Имени
Chernogorsk Черногорск
Melioratorov Мелиораторов
Telma Тельма
Otto Отто
Entuziast Энтузиаст
Blok Блок
Pirogova Пирогова
Kazino Казино
Sulak Сулак
Rodina Родина
Ferma Ферма
Luch Луч
Lokteva Локтева
Zakaznik Заказник
Lukovka Луковка
Ostrovskogo Островского
Vasin Васин
Arman Арман
Nachalo Начало
Menshikova Меньшиковой
Temir Темир
Malikov Маликов
Toropova Торопова
Taldom Талдом
Panov Панове
Orton Ортон
Tjumen Тюмени
Stroganov Строганов
Novik Новик
Zapovednik Заповедник
Malino Малино
Charus Чарус
Pioner Пионер
Ruka Рука
Palati Палати
Krest Крест
Poni Пони
Baptistov Баптистов
Soveta Сельсовета
Volodina Володина
Korma Корма
Kolganov Колганов
Dana Дана
Romashka Ромашка
Bratstvo Братство
Glarus Гларус
Radost Радость
Satra Сатра
Suvorova Суворова
Tonnel Тоннель
Anda Анда
Buran Буран
Medved Медвед
Razvedka Разведка
Kultura Культура
Bani Бани
Melnikov Мельников
Redut Редут
Medvedeva Медведевой
Preobrazhenka Преображенка
Senno Сенно
Mechta Мечта
Strazha Стража
Fialka Фиалка
Glazunova Глазунова
Balta Балта
Kosta Коста
Rada Рада
Balandina Баландина
Vels Велс
Kolchuga Кольчуга
Kononov Кононов
Kanat Канат
Kalita Калита
Mama Мама
Russk Русск
Dzhel Джел
Lapina Лапина
Zotova Зотова
Vasilev Василев
Solka Солка
Dorozhno Дорожно
Litva Литва
Dinas Динас
Kosino Косино
Smena Смена
Nita Нита
Rechnaya Речная
Fominskaya Фоминская
Korovin Коровин
Chaykovskiy Чайковский
Linda Линда
Gorbatov Горбатов
Baikal Байкал
Artamonova Артамонова
Kushman Kushman
Sova Сова
Ionova Ионовой
Ryzhov Рыжов
Reutovskiy Reutovskiy
Darovskoy Даровской
Kumeny Кумены
Sanchursk Санчурск
Kars Карс
Chasha Чаша
Sedov Седов
Medvedev Медведев
Kolesnikov Колесников
Dudinka Дудинка
Tulskaya Тульская
Muravlenko Муравленко
Oktyabrskaya Октябрьская
Vodopyanova Водопьянова
Shipilova Шипилова
Sergach Сергач
Alekseevka Алексеевка
Stepnaya Степная
Selo Село
Mosur Mosur
Zolotova Золотова
Kurbatova Курбатова
Duplin Duplin
Shebekino Шебекино
Kurort Курорт
Vodstroy Водстрой
Kukol Кукол
Zerno Зерно
Ilin Ильин
Stolbovaya Столбовая
Perfilyeva Перфильева
Dubrava Дубрава
Rozhdestvenskaya Рождественская
Sulin Сулин
Gorka Горка
"Sosnovyy Bor" "Сосновый Бор"
Zimovniki Зимовники
Inko Инко
Shustov Шустов
Amurzet Амурзет
Promyslovaya Промысловая
Dubrovskiy Дубровский
Kopeisk Копейске
Kulikov Куликов
Kavkazskiy Кавказский
Veselye Веселые
Vysokovsk Высоковск
Sevastopolskiy Севастопольский
Derevnya Деревня
Mozhaisk Можайский
Summa Сумма
"Stepana Razina" "Степана Разина"
Vladykino Владыкино
Makarena Макарена
Klimovskiy Климовский
Uspensk Успенский
Zavodskoi Заводском
Veshnyaki Вешняки
Sheregesh Шерегеш
Pershin Першин
Kommuny Коммуны
Korolevskiy Королевский
Rozhdestvenskiy Рождественский
Grishina Гришина
Gavrilov Гаврилов
Miller Миллер
"Pokrovskiy Rudnik" "Рудник Покровский"
Shuvalov Шувалов
Zara Зара
Zhel Жел
Uchebnyy Учебный
Pichugin Пичугин
Voroshilova Ворошилова
Solnechnodolsk Солнечнодольск
Yagodnaya Ягодная
Kushva Кушва
Noginskiy Ногинский
Kopyrina Kopyrina
Rozhdestvenka Рождественка
Supra Супра
Isakov Исаков
Zlatoust Златоуст
Krasnyy Красный
Podushkino Подушкино
Goncharov Гончаров
Observatoriya Обсерватория
Novomoskovsk Новомосковск
Povarovo Поварово
Partizanskaya Партизанская
Lozhkin Ложкин
Novoaleksandrovsk Новоалександровск
Ivnya Ивня
Usman Усмань
Rakita Ракита
Parshin Паршин
Gubakha Губаха
Pola Пола
Pensa Пенса
Kashin Кашин
Svetlyy Светлый
Gagarinski Gagarinski
Frolova Фролова
Merzlyakova Мерзлякова
Chernyshov Чернышов
Pyatnitskaya Пятницкая
Pirogovo Пирогово
Zeleny Зеленый
Shumilin Шумилин
Lopareva Lopareva
Lats Латов
Nosov Носова
Polevskoy Полевской
Vereshchagino Верещагино
Khaty "Возвращение, поронайский"
Gudok Гудок
Borschev Борщев
Domra Домра
Pankov Паньков
Anzhero-Sudzhensk Анжеро-Судженск
Kosov Косов
Tsentral Центральная
Vyazma Вязьма
Lars Ларс
"Zolotoy Rodnik" "Золотой Родник"
Krasnoy Красной
Dary Дары
Lisitsyn Лисицын
Tsyganok Цыганок
Beret Берет
Mytishchi Мытищинский
Urma Урма
Kazakov Казаков
Bard Бард
Sestra Сестра
Cherkasova Черкасова
Alen Ален
Yermolova Ермоловой
Burman Берман
Zaliv Залив
Serebryanyy Серебряный
Soya Соя
Myasnikova Мясникова
Shipilov Шипилов
Sviridova Свиридова
Batrakova Батракова
Skvortsova Скворцова
Dubinina Дубинина
Balabanov Балабанов
Ovchinnikov Овчинников
Pogorelov Погорелов
Getmanov Гетьманов
Kurakina Куракина
Anikin Аникин
Korsakovka Korsakovka
Borisovka Борисовка
Galenki Галенки
Baranovo Бараново
Boguslavka Богуславка
Zharikovo Жариково
Astrakhanka Астраханка
Novonikolsk Новоникольское
"Zolotaya Dolina" "Золотая Долина"
Uglekamensk Углекаменск
Peretino Peretino
Volchanets Волчанец
Novolitovsk Novolitovsk
Martynov Мартынов
Nina Нина
Miroshkin Мирошкин
Gastello Гастелло
Yakutskaya Якутская
Portnov Портнов
Galkin Галкин
Babenko Бабенко
Mechetka Мечетка
Bakalinskiy Бакалинский
Krasnouralsk Красноуральск
Maloyaroslavets Малоярославец
Vodny Водный
Kraskovo Красково
Rodionov Родионов
Petrovskaya Петровская
Chelyabinskiy Челябинский
Tishkovo Тишково
Kuybyshev Куйбышев
Krasnoyar Краснояр
Molniya Молния
Istomin Истомин
Surov Суров
Grodekovo Гродеково
"Lev Tolstoy" "Лев Толстой"
Vesennyaya Весенняя
Mashkova Машкова
Yuzhno-Kurilsk Южно-Курильск
Nikolskaya Никольская
Krasnozavodsk Краснозаводск
Uchaly Учалы
Pika Пищуха
Magdagachi Магдагачи
Samur Самур
Volzhskiy Волжский
Salym Салым
Lunev Лунев
Malkova Малкова
Poltavskiy Полтавский
Abramov Абрамов
Pukhlyakov Pukhlyakov
Kryuchkov Крючкова
Golovko Головко
Arta Артой
Kalashnikov Калашников
Kinder Киндер
Itkol Иткол
Barsukova Барсукова
Belozerov Белозеров
Abramova Абрамова
Gromov Громова
Maslyanaya Масляная
Rusakov Русаков
Losinoostrovskaya Лосиноостровская
Sofrino Софрино
Aktanysh Актаныш
Shimanovsk Шимановск
Vyatskiy Вятский
Ibragimov Ибрагимова
Rodionovo Родионово
Belozerskaya Белозерская
Magna Магна
Mokrushina Мокрушина
Reneva Reneva
Zadonskiy Задонский
Bogdanova Богданова
Petelino Петелино
Bekasovo Бекасово
Sannikova Санникова
Chuykova Чуйкова
Demidov Демидов
Lesnoi Лесной
Tamarovskiy Tamarovskiy
Medintsev Medintsev
Koshel Кошель
Arbuzov Арбузова
Monastyr Монастырь
Karmanov Карманова
Mokhovaya Моховая
Utta Утта
Zhiguli Жигули
Lvova Львовой
Shumova Шумова
Kabel Кабель
Krasnovishersk Красновишерск
Taishet Тайшет
Maral Марал
Degtyarny Degtyarny
Geba Геба
Kozlovskaya Козловская
Tomskaya Томская
Chashnikovo Чашниково
Cherno Черно
Sherbinka Санкт-Петербург
Pushino Пущино
Ryazanskaya Рязанская
Pechatniki Печатники
Tayninskaya Тайнинская
Rusanova Русанова
Smolnaya Смольная
Pargolovo Парголово
Kudrovo Кудрово
Sadovniki Садовники
Budarin Бударин
Argunovskaya Аргуновская
Aral Арал
Nart Нарт
Golyevo Golyevo
Petropavlovskaya Петропавловская
Sergievo Сергиево
Krasnoe Красное
Industriya Индустрия
Ostrovtsy Островцы
Forel Форель
Tuimazy Туймазы
Irta Ирта
Sarzhan Саржан
Vershinin Вершинин
Sibay Сибай
Birsk Бирск
Fedyakovo Fedyakovo
Belebey Белебей
Aramil Арамиль
Rynok Рынок
Bolotnaya Болотная
Meleuz Мелеуз
Ruda Руда
Petrovichi Петровичская
Litvinova Литвинова
Isilkul Исилькуль
Kalachinsk Калачинск
Pavlogradka Павлоградка
Tara Тара
Podvorye Подворье
Moska Моська
Serebryakova Серебрякова
Usad Усадьба
Medovyy Медовый
Petrogradskiy Красногвардейском
Meriya Мэрия
Timoshenko Тимошенко
Surova Сурова
Kononenko Кононенко
Losevskaya Лосевская
Shmat Шмат
Karamzina Карамзина
Karacharovo Карачарово
Katen Катен
Transportnyy Транспортный
Klevtsova Клевцова
Delovo Delovo
Belorusskaya Белорусская
Pavlovskiy Павловский
Znamenka Знаменка
Nagibina Нагибина
Krupskaya Крупская
Simonova Симонова
Zyablikovo Зябликово
Chkalov Чкалова
Kalach Калач
Panichkin Паничкин
Podstepki Подстепки
Balka Балка
Melnichnaya Мельничная
Tolstova Толстова
Postnikova Постникова
Bolnitsa Больница
Loza Лоза
Tokareva Токарева
Karaseva Карасева
Michkova Michkova
Zibrov Зибров
Bazheva Bazheva
Perlovka Перловка
Spasskiy Спасский
Samet Самет
Mashkin Машкин
Bondarenko Бондаренко
Zinchenko Зинченко
Kirpichniy Кирпичникам
Vozdushnaya Воздушная
Starkovo Старково
Safonovskaya Сафоновская
Stepanova Степанова
Novodvinsk Новодвинск
Kovrov Коврове
Saha Саха
Shmidta Шмидта
Bayer Байер
Voskresenskiy Воскресенский
Lukinskaya Лукинская
Podolskaya Подольская
Gvardeyskaya Гвардейская
Shilin Шилин
Gent Гент
Tovarnaya Товарная
Vavilovo Vavilovo
Bolshoi Большой
Tekhnika Техника
"Stary Oskol" "Старый Оскол"
Konstantinovsk Константиновск
Zhadina Жадина
Severo-Kurilsk Северо-Курильск
Shumilova Шумилова
Sibiryak Сибиряк
Sivkovo Сивково
Izbushka Избушка
Vershiny Вершины
Ryzhkov Рыжков
Tura Тура
Baykit Байкит
Vanavara Ванавара
Luchinskiy Лучинский
Khutorskaya Хуторская
Sestry Сестры
Saitova Саитова
Kagalnik Кагальник
Malko Малко
Sharan Шаран
Valuyki Валуйки
Saratovskiy Саратовский
Kutuzova Кутузова
Izvest Известь
Aleksandrova Александрова
Gromova Громова
Barskiy Барский
Slavyansk-na-Kubani Славянск-на-Кубани
Sharlyk Шарлык
Sosta Сosta
Krymskiy Крымский
Bras Бюстгальтеры
Ryzhikova Рыжикова
Proryv Прорыв
Grishko Гришко
Kuzina Кузина
Zayats Заец
Grekovo Греково
Iona Айона
Svetlograd Светлоград
Sokol Сокол
"Mali Oleni" "Мали Олени"
Severomorsk Североморск
Ufa Уфа
Abramtsevo Абрамцево
Detchino Детчино
Lvovskoye Львовское
"Goryachiy Klyuch" "Горячий Ключ"
Zolnoye Zolnoye
Ramasukha Рамасуха
Losino-Petrovskiy Лосино-Петровский
Suslonger Суслонгер
Novonikolskoe Новоникольское
Vidnoye Видное
Synyanyrd Synyanyrd
Snegiri Снегири
Dedovsk Дедовск
Tosno Тосно
Volosovo Волосово
Ulyanovka Ульяновка
Kommunarka Коммунарка
Shcherbinka Щербинка
Ust-Nera Усть-Нера
Verkh-Neyvinskiy Верх-Нейвинский
Tavatuy Таватуй
"Sredniy Ikorets" "Средний Икорец"
"Pervoye Maya" "Первое Мая"
Novotalitsy Ново-талицы
Novoomskiy Новоомский
Posyet Посьет
Uva Ува
Achkhoy-Martan Ачхой-Мартане
Mezhdurechensk Междуреченск
"Krasnoye Selo" "Красное Село"
Redkino Редкино
Sengiley Сенгилей
Taytsy Тайцы
"Nizhniy Tagil-39" "Нижний Тагил-39"
Gorbatovka Горбатовка
Prigorodnyy Пригородный
Cherdakly Чердаклы
Kukushtan Кукуштан
Krasnokamensk Краснокаменск
Rayevskaya Раевская
Mingrelskaya Mingrelskaya
Zhirnovsk Жирновск
Kipen Кипень
Bugulma Бугульма
Alekseyevskoye Алексеевское
Romodan Ромодан
Laishevo Лаишево
Kimry Кимры
Yessentukskaya Ессентукская
Kruglolesskoye Круглолесское
Davydovka Давыдовка
Nekrasovskoye Некрасовское
Nekrasovskiy Некрасовский
Ponezhukay Понежукай
Kargapolye Kargapolye
Meget Мегет
Spassk-Ryazanskiy Спасск-Рязанский
Petropavlovsk-Kamchatskiy Петропавловск-Камчатский
Kedrovoye Кедровое
Trudovoye Трудовое
Leninsk-Kuznetskiy Ленинск-Кузнецкий
Krym Крым
"Tatarskaya Pishlya" "Татарская Пишля"
Kalinovo Калиново
Sarapulka Сарапулка
Ayat Айат
Dubki Дубки
Begunitsy Бегуницы
Toyohara Тоехара
Chebarkul Чебаркуль
Etoka Etoka
Gavrilovka Гавриловка
Meshcherino Мещерино
Safonovo Сафоново
Zelenogradsk Зеленоградск
Yanino Янино
Naziya Назия
Shala Шала
Zainsk Заинск
Gostilitsy Гостилицы
Lyangasovo Лянгасово
Lobanovo Лобаново
Overyata Оверята
Rzhanitsa Ржаница
Novopetrovskoye Новопетровском
Opalikha Опалиха
Novopodrezkovo Новоподрезково
Shushary Шушары
Shelekhov Шелехов
Barybino Барыбино
Troitskoye Троицкое
Novoasbest Новоасбест
Tsementnyy Цементный
Petrokamenskoye Петрокаменское
Neyvo-Rudyanka Нейво-Рудянка
Nevyansk Невьянск
Yelizavetino Елизаветино
Severka Северка
Chelyabinsk-70 Челябинск-70
Konakovo Конаково
"Verkhniy Kurkuzhin" "Верхний Куркужин"
Dmitriyevka Дмитриевка
Chebsara Чебсара
Tutayev Тутаев
Zvenigovo Звенигово
Novocheboksarsk Новочебоксарск
Medvedevo Медведево
"Kamskiye Polyany" "Камские Поляны"
Sheremetyevskiy Шереметьевский
Razvilka Развилка
Polessk Полесск
Znamensk Знаменск
Gvardeysk Гвардейск
"Verkhniy Uslon" "Верхний Услон"
